City,서울,인천,수원,성남,고양,용인,안산,연천,안양,남양주,부천,화성,평택,군포,광명,김포,의정부,시흥,광주(경기),동두천,오산,의왕,파주,양주,하남,포천,이천,양평
서울,0.0,22.957299701557634,16.085395521551966,29.11673369196988,33.56197059123245,9.79337300303446,19.893323607656566,0.0,30.79633082624343,27.570883336647764,29.78998003641304,7.238602191512264,0.0,27.045813613655962,36.01580930907064,26.223031674656404,30.332302836311868,24.110371209050733,19.917926597679248,12.151117066129252,2.5219191158121887,25.356274135208775,22.04328034362448,24.993811593609575,28.911461416515735,8.650096251863253,0.0,4.253535389441538
인천,22.957299701557634,0.0,14.247843416459922,12.501079566874047,24.926902542091568,1.8089448178841891,31.38795186497251,0.0,26.691171217162864,0.6099564890085389,42.60042979695562,19.396160390001743,0.0,27.122841131977502,35.552079229125695,32.35026947494103,7.3467987162652335,37.9401354154016,1.0602155234385364,0.0,2.629979740247883,23.634620549323987,15.744721289804296,2.7087409169469012,4.057186649921249,0.0,0.0,0.0
수원,16.085395521551966,14.247843416459922,0.0,30.57515204425043,2.8566694131593593,36.54742962128308,31.314105868133456,0.0,34.16002468776621,5.450033884281403,14.389438428508122,31.076674707757768,19.68492864092295,36.25658049058418,22.27980110130689,2.1651061089600248,0.0,26.13430244348761,24.23860141507172,0.0,36.33133211315137,39.52726835941664,0.0,0.0,15.267777501076267,0.0,12.935025036819397,2.142158278354451
성남,29.11673369196988,12.501079566874047,30.57515204425043,0.0,12.90060702587732,29.61341903749597,21.634613053870556,0.0,34.70315250384066,24.762276429095447,16.507868611406025,14.136685975870094,2.6576637717606744,31.898021648903207,26.1312109797559,7.7369143797705675,13.77505479705632,20.94093366890976,38.55909508197814,0.0,19.0853861690748,33.646171486004,1.161093877751469,8.853044148285235,34.67354935606614,0.0,17.691823708636797,17.126281593984324
고양,33.56197059123245,24.926902542091568,2.8566694131593593,12.90060702587732,0.0,0.0,12.652797576897783,0.0,18.681027922614962,15.976339675810117,31.864097529461013,0.0,0.0,15.912584779737855,29.660588865371498,38.673605041721544,30.141614301116714,18.989008998904858,3.4945317297399754,16.378878147247633,0.0,13.15456520349862,37.66405076554488,26.48379749654297,13.752185489013307,8.292634353365386,0.0,0.0
용인,9.79337300303446,1.8089448178841891,36.54742962128308,29.61341903749597,0.0,0.0,17.972785259606397,0.0,24.074293749114705,6.036684039611124,3.0619539100811224,18.89328555818352,21.533574412427225,24.64242031068572,11.96451324932712,0.0,0.0,13.324356493930892,30.122365951364902,0.0,35.75731650461089,28.15167535347739,0.0,0.0,16.745958852483483,0.0,25.804753482712997,10.93661690355939
안산,19.893323607656566,31.38795186497251,31.314105868133456,21.634613053870556,12.652797576897783,17.972785259606397,0.0,0.0,36.2532680205314,1.2299183584715365,28.861397680026286,36.41573484249465,7.074459780461268,39.70996857337999,32.47973173666499,15.903010333895224,0.45406370964879983,43.06853988735132,11.202387057484735,0.0,21.04272405161498,37.591519811323735,1.136958563736144,0.0,8.369932465049288,0.0,0.0,0.0
연천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.163739820025569,0.0,0.0,28.39424833358799,0.0,0.0,4.357642589136418,15.47238861861726,0.0,25.136477261407844,0.0,0.0
안양,30.79633082624343,26.691171217162864,34.16002468776621,34.70315250384066,18.681027922614962,24.074293749114705,36.2532680205314,0.0,0.0,14.690674537509743,28.93683900696249,25.672751642727757,4.134038140049249,45.98974570329372,37.80732290894091,17.52505603437733,11.243678748259903,36.21720009468446,23.54529734297291,0.0,20.557034055759935,44.39555898508491,6.3603366816326385,5.900423607461136,22.1164373742869,0.0,4.8275349306892466,1.847155171164161
남양주,27.570883336647764,0.6099564890085389,5.450033884281403,24.762276429095447,15.976339675810117,6.036684039611124,1.2299183584715365,0.0,14.690674537509743,0.0,7.3610587574684985,0.0,0.0,10.760840944289832,14.397055513611008,5.738841601505314,30.28509903216338,3.6417606320185527,24.5990124318333,17.502746921222382,0.0,10.898294633002934,8.706409367222413,27.60174922956421,39.265471538636305,21.261548107847577,5.566969664002158,21.24353692242496
부천,29.78998003641304,42.60042979695562,14.389438428508122,16.507868611406025,31.864097529461013,3.0619539100811224,28.861397680026286,0.0,28.93683900696249,7.3610587574684985,0.0,15.617831161431376,0.0,28.070228417954784,40.36678282344474,37.035642238985545,14.74515043608504,35.75346351290848,5.203150574487324,0.0,1.6747068318783462,24.618942616661595,21.633491176959076,10.083240179664841,9.927564342526175,0.0,0.0,0.0
화성,7.238602191512264,19.396160390001743,31.076674707757768,14.136685975870094,0.0,18.89328555818352,36.41573484249465,0.0,25.672751642727757,0.0,15.617831161431376,0.0,17.73535872067088,29.682234457382975,19.020509432737825,2.7603679436344137,0.0,29.805430084630597,5.788654157293088,0.0,27.84999160452963,29.82643386090596,0.0,0.0,0.0,0.0,0.0,0.0
평택,0.0,0.0,19.68492864092295,2.6576637717606744,0.0,21.533574412427225,7.074459780461268,0.0,4.134038140049249,0.0,0.0,17.73535872067088,0.0,6.970928260724882,0.0,0.0,0.0,0.24864298912851268,1.6845418792648488,0.0,33.22449215186826,9.717725071968246,0.0,0.0,0.0,0.0,5.164470181849502,0.0
군포,27.045813613655962,27.122841131977502,36.25658049058418,31.898021648903207,15.912584779737855,24.64242031068572,39.70996857337999,0.0,45.98974570329372,10.760840944289832,28.070228417954784,29.682234457382975,6.970928260724882,0.0,35.88433782831102,15.899979629038278,7.417540992848984,38.05148486738808,21.21692447493059,0.0,23.045740501858084,46.48714789144601,3.675163029053678,2.07318615592348,18.471630292280146,0.0,3.81479264257176,0.0
